10	12	0	6	8	0	0	0	0	12	8	13	0	15	6	14	0	0	0	0	8	7	9	0	9	0	5	0	0	11	6	0	10	6	14	14	0	15	0	10	11	10	13	0	8	14	13	12	14	15	5	0	7	0	0	0	15	0	10	9	10	8	10	15	0	12	0	8	5	0	8	0	13	10	0	15	0	14	8	10	0	0	0	0	0	13	5	0	0	15	10	10	0	10	11	8	14	15	5	0	8	9	0	10	13	11	5	10	12	12	0	12	7	14	0	11	12	10	11	0
5	11	5	14	7	6	10	6	8	10	0	11	10	12	10	0	0	12	10	7	10	0	5	8	6	0	0	7	0	0	7	0	11	12	15	5	0	0	0	6	5	0	0	5	6	0	8	14	8	0	0	7	0	0	0	0	7	8	6	11	14	0	15	0	9	0	0	9	0	9	0	7	15	0	0	0	0	10	0	9	6	0	10	0	0	12	12	0	0	0	9	9	0	8	0	6	15	12	15	12	0	0	0	0	7	0	5	6	0	9	0	10	10	5	0	9	0	0	14	0
11	0	8	7	0	5	10	9	7	0	14	0	8	9	0	6	9	0	0	9	6	11	5	13	0	0	0	13	10	8	14	5	0	7	0	5	0	8	0	15	6	0	5	12	0	0	15	0	13	13	8	13	14	11	15	7	0	8	9	8	0	13	0	13	8	6	0	0	0	0	13	0	11	0	0	11	14	7	8	15	0	0	0	15	9	11	8	12	8	12	5	0	15	0	6	12	15	6	0	9	14	14	10	9	7	11	13	9	0	10	5	0	5	0	5	7	0	11	0	0
6	10	0	0	10	14	6	0	9	9	8	0	13	15	14	13	6	5	0	0	12	0	5	6	0	0	0	12	7	6	5	14	9	0	6	0	0	15	11	12	8	0	0	0	0	5	0	10	0	0	13	11	8	11	0	8	8	0	11	10	14	0	8	14	7	11	0	13	0	15	14	9	9	13	14	8	10	15	6	8	0	15	6	15	9	5	14	11	0	7	10	13	8	6	6	14	8	0	7	13	7	0	0	14	14	13	5	12	0	6	5	9	5	14	5	8	9	5	14	0
7	0	15	12	13	0	0	0	0	0	0	6	0	0	0	13	0	8	5	0	13	0	15	7	12	9	15	5	11	0	0	0	11	12	15	14	6	0	14	5	0	11	12	14	0	9	0	13	14	6	11	0	7	0	10	6	9	11	0	0	0	0	0	10	6	11	13	0	0	5	10	11	0	13	6	12	7	13	8	5	15	0	0	9	0	10	5	0	0	0	12	15	0	0	9	0	0	15	15	12	10	9	5	10	0	8	0	7	0	10	12	0	0	0	0	14	9	10	5	0
0	6	0	0	12	0	0	11	7	0	12	5	8	6	6	0	13	10	5	12	0	0	0	12	6	11	10	0	11	8	13	14	0	0	11	11	7	15	8	0	0	0	12	10	14	15	14	7	7	9	9	12	13	7	9	11	8	10	0	0	13	0	8	5	9	13	0	15	7	13	5	12	0	0	0	0	8	11	5	0	14	0	0	13	7	0	13	6	15	13	11	6	7	5	0	6	0	14	13	6	0	13	5	15	7	10	0	6	5	9	15	0	14	0	0	0	0	10	0	0
8	0	0	0	0	0	9	9	0	0	9	8	15	14	9	9	7	0	9	15	11	8	13	9	10	0	0	0	0	10	0	8	0	11	10	5	0	8	9	14	7	0	8	0	9	0	6	12	12	15	6	8	9	0	10	14	0	14	0	13	0	0	0	9	5	0	10	15	12	0	0	14	13	0	0	0	7	0	0	0	13	0	12	0	0	12	0	0	10	11	10	0	0	11	10	12	13	9	0	9	14	11	0	6	0	8	10	7	0	10	7	7	7	5	9	12	0	5	8	5
7	0	10	6	9	7	0	9	0	8	14	14	0	0	5	14	0	9	13	15	5	7	0	10	7	0	8	15	6	7	6	9	7	8	7	5	12	15	0	0	8	13	5	0	0	9	13	8	5	12	9	0	0	0	8	0	13	0	0	0	0	0	0	5	7	10	0	0	13	15	11	10	8	13	9	7	12	13	6	13	5	0	11	14	5	6	11	7	14	8	11	13	15	15	7	13	5	7	13	5	6	7	15	14	0	0	12	15	8	9	0	14	11	8	10	0	11	9	9	8
10	0	15	0	0	10	0	10	9	15	0	10	0	14	9	7	11	0	7	0	13	9	12	12	14	14	0	15	9	5	13	0	0	8	5	0	7	10	5	14	11	5	0	0	10	0	0	8	12	5	0	15	9	11	10	15	0	8	0	8	0	0	0	11	0	5	10	7	15	10	10	11	0	13	0	5	10	12	12	0	0	0	0	10	11	0	8	15	8	5	0	7	6	7	14	7	0	0	9	13	10	11	0	0	7	13	14	5	14	13	5	5	13	10	0	10	12	8	15	10
15	5	0	8	11	0	5	15	8	8	10	8	12	7	6	8	8	6	5	12	8	5	13	6	8	5	5	0	6	0	11	12	8	0	5	0	15	7	0	12	12	0	9	0	11	8	0	13	10	0	0	6	6	6	15	0	13	14	10	5	9	5	11	0	9	8	15	0	0	0	0	5	0	12	9	0	9	0	0	0	13	10	13	0	7	9	15	12	0	15	10	0	13	0	0	10	0	12	7	0	0	5	8	15	5	8	0	11	7	0	11	11	6	5	11	10	0	6	13	0
0	12	6	0	5	0	13	12	14	7	5	0	0	15	0	0	8	5	7	7	7	7	15	6	11	0	0	0	0	0	13	0	14	0	0	0	5	5	14	7	0	9	0	10	11	13	13	11	0	11	0	0	8	9	0	9	8	7	6	9	5	7	0	9	0	15	14	6	6	7	0	0	14	0	14	13	6	0	5	7	0	13	11	10	11	12	13	0	6	14	8	15	6	8	12	0	0	0	5	8	0	5	0	14	15	0	0	0	0	14	0	13	0	0	8	10	8	10	6	11
15	12	7	0	0	0	0	15	7	5	5	6	0	5	0	12	14	7	0	0	8	7	6	11	14	13	8	14	5	0	7	13	5	10	9	14	9	5	0	13	0	0	11	8	11	14	0	0	0	9	8	14	11	0	12	0	6	11	11	13	0	10	5	8	15	0	0	14	7	11	5	12	9	0	0	7	8	15	0	0	0	5	14	14	6	8	7	0	0	0	12	0	7	15	0	8	13	10	6	0	0	8	12	0	0	14	10	8	11	0	9	0	12	6	6	9	0	14	0	8
0	7	15	5	13	6	11	6	9	10	0	7	0	13	0	5	0	12	10	12	15	0	6	0	10	9	0	7	6	12	0	0	14	0	8	5	11	0	7	11	7	0	10	13	9	0	0	0	7	6	7	7	0	14	0	0	0	0	13	0	10	0	10	15	14	0	0	0	12	6	13	7	0	14	11	14	13	14	0	5	0	12	15	0	0	11	0	0	11	9	0	0	0	0	0	12	14	6	13	0	9	15	0	15	0	8	0	0	14	7	6	11	6	10	0	14	15	0	0	14
0	7	12	15	15	15	0	5	0	10	0	15	8	0	11	10	13	12	15	15	0	10	10	6	0	0	8	6	11	0	0	9	8	0	0	0	0	5	0	10	10	9	0	0	0	11	0	15	0	15	11	0	0	14	8	9	0	13	0	15	15	0	7	0	6	14	0	0	0	7	0	8	11	0	10	0	6	0	12	11	12	11	0	10	5	13	11	7	0	6	9	12	0	0	5	7	7	0	13	12	11	7	14	13	0	11	11	7	0	15	6	0	13	9	8	8	11	9	0	0
0	0	14	0	6	13	0	13	0	5	0	8	11	15	10	10	0	0	12	0	14	9	14	14	0	7	13	13	14	0	0	0	7	0	10	5	0	0	0	8	0	0	12	0	15	13	0	10	11	9	13	5	0	12	5	0	0	0	0	7	12	13	15	0	6	7	12	0	0	0	7	11	0	0	8	0	6	0	6	10	8	15	5	12	0	9	12	7	0	12	11	0	10	5	13	0	0	6	7	0	9	14	6	0	13	11	6	0	0	12	0	15	11	10	9	0	0	0	13	0
0	8	6	0	0	13	0	0	14	9	12	13	0	0	13	15	7	0	0	0	12	0	0	10	0	5	11	10	0	10	13	0	0	5	6	0	8	12	11	0	11	6	13	9	0	14	11	12	11	0	0	5	14	0	0	9	0	15	5	13	0	15	10	0	7	11	6	7	0	0	0	11	6	15	9	6	0	15	8	9	11	6	0	14	7	0	7	8	15	0	15	0	0	7	7	8	0	8	12	5	6	0	15	15	11	15	7	8	0	14	5	15	14	14	0	0	10	9	0	5
13	11	0	13	8	14	0	14	15	8	0	10	15	0	13	11	0	0	15	0	8	15	11	0	11	10	5	10	0	14	14	8	6	0	0	10	7	0	8	0	0	10	10	12	0	11	9	0	13	5	11	12	0	7	8	0	13	14	10	5	0	11	10	0	0	5	13	0	7	0	0	0	11	6	7	5	7	6	0	6	15	0	12	11	6	8	12	0	0	0	13	0	13	0	8	0	10	9	13	8	9	11	15	0	8	10	0	0	0	14	10	7	11	12	7	10	9	7	6	12
14	0	8	10	6	14	9	6	12	11	8	5	0	0	0	0	13	0	5	10	0	0	9	14	7	0	0	0	11	14	9	9	0	14	14	12	14	10	0	0	15	12	14	0	0	6	0	10	15	5	11	0	0	0	0	7	0	9	11	12	14	10	11	5	0	12	7	8	11	11	0	0	0	10	10	14	9	0	10	12	13	0	0	0	8	8	10	0	12	0	13	11	0	12	0	0	7	6	0	9	0	14	0	9	0	12	0	0	13	5	15	14	15	0	14	15	7	13	0	0
0	15	6	0	12	13	11	6	5	6	5	12	0	13	0	11	14	5	14	0	12	0	6	0	10	0	13	14	0	0	8	15	8	0	0	0	0	14	14	15	0	0	6	8	0	0	10	10	0	0	7	14	0	7	13	15	11	9	0	0	13	8	0	0	14	9	0	11	0	6	11	0	0	13	5	13	0	15	8	14	0	12	11	11	0	0	15	12	14	0	6	7	14	0	7	9	11	0	11	0	0	0	12	12	0	11	6	5	11	6	0	0	13	0	13	11	5	0	0	0
6	7	12	8	0	14	8	6	10	14	7	14	0	6	0	0	11	11	7	12	6	15	0	5	12	14	0	0	13	5	12	5	11	13	11	0	0	6	11	0	7	5	6	10	15	8	0	13	0	0	11	13	0	11	10	0	0	13	13	0	0	13	13	12	0	0	14	0	0	15	6	10	13	0	10	0	0	9	13	0	0	10	5	7	5	10	8	5	0	0	13	6	6	0	11	0	0	13	12	0	0	6	5	12	9	12	0	0	12	0	0	7	15	9	0	11	10	8	0	0
0	0	10	0	0	0	5	15	7	11	0	0	0	11	0	0	0	14	0	0	0	0	15	11	15	6	14	10	8	6	0	0	6	0	0	0	9	0	14	7	8	0	0	6	0	7	0	0	6	0	8	10	0	0	0	0	0	14	6	0	0	9	0	9	14	0	11	10	8	9	7	10	5	10	0	9	13	6	7	13	9	12	0	5	14	7	13	11	14	14	10	5	15	5	0	14	11	9	0	0	0	12	14	0	0	13	9	8	8	9	10	11	13	11	0	7	15	5	0	5
0	0	14	7	14	10	10	13	8	0	15	11	10	15	12	6	10	0	10	15	6	7	15	11	14	11	9	0	0	7	0	10	6	9	9	15	0	12	8	0	14	14	6	12	0	0	11	10	0	0	9	11	11	8	15	0	11	8	12	0	0	7	5	0	13	7	14	0	0	6	5	14	13	0	9	0	8	0	6	0	15	14	0	12	0	0	0	0	15	11	0	5	15	0	10	11	13	0	12	0	6	14	0	14	0	0	7	6	6	0	0	0	12	8	0	13	8	13	0	0
14	10	7	0	14	9	0	7	12	10	0	7	0	14	0	10	5	12	5	5	10	9	0	0	0	10	11	10	8	0	5	0	0	15	0	0	5	0	15	13	15	6	6	15	13	13	7	0	13	0	6	0	0	6	0	0	14	10	7	8	7	12	10	9	6	8	13	6	6	0	7	9	0	0	13	8	0	15	6	12	10	0	8	14	10	5	12	7	11	11	13	8	13	9	10	15	6	5	6	12	0	9	9	13	8	0	11	0	5	9	0	0	11	12	0	0	13	7	6	7
0	10	5	0	0	9	14	0	0	9	15	7	0	0	13	0	0	0	0	0	6	8	9	0	9	0	0	0	8	5	5	0	5	9	0	14	0	10	0	0	15	5	12	7	15	14	5	0	9	11	10	0	12	0	14	10	7	15	13	11	0	13	12	0	0	15	14	0	0	15	6	0	15	9	6	0	15	0	11	11	9	7	7	7	10	0	5	10	6	0	10	0	11	0	6	5	0	9	5	12	7	8	10	0	7	10	5	10	0	7	0	9	6	0	10	13	5	11	11	0
15	13	8	10	5	7	0	14	0	0	6	5	11	13	0	12	7	15	0	8	9	7	13	12	12	0	0	10	0	11	11	0	12	6	9	5	0	0	14	0	0	0	8	10	0	0	12	0	5	0	12	8	13	12	8	0	8	6	8	5	0	6	12	0	5	0	0	12	6	8	0	10	8	13	7	6	6	11	0	0	8	0	11	6	6	10	13	0	7	0	0	0	9	12	0	14	8	10	0	8	0	7	11	5	15	10	14	14	6	11	0	0	0	11	13	7	13	10	0	9
6	5	6	0	13	8	13	11	10	7	0	8	9	0	9	14	12	8	8	13	7	8	6	6	0	6	5	0	14	0	15	0	10	15	15	6	7	0	15	13	0	0	0	14	14	0	7	8	0	14	0	0	7	8	10	9	15	8	5	0	0	13	0	0	7	0	5	11	10	9	6	12	14	0	13	0	12	11	0	0	9	8	9	0	8	15	7	7	5	5	6	10	9	8	13	12	5	8	12	8	8	0	7	5	5	0	6	14	13	11	15	11	0	15	0	0	0	0	15	10
0	0	11	0	11	5	8	12	9	12	0	0	8	0	0	0	0	9	0	0	12	15	11	0	11	7	0	13	13	0	0	0	9	0	7	0	8	0	0	5	0	0	0	0	10	12	0	0	0	10	0	8	7	0	0	6	0	0	15	14	13	5	0	13	0	0	0	12	8	11	15	13	0	0	9	15	10	9	8	9	0	13	6	14	0	9	12	0	6	7	15	0	14	5	8	15	13	0	11	5	10	8	10	0	5	0	8	8	12	7	6	14	0	0	14	15	7	14	7	0
0	0	15	6	11	8	12	9	14	0	9	0	0	12	10	14	0	12	7	0	10	14	0	0	13	0	13	0	9	9	5	14	10	0	0	8	11	15	0	5	5	5	9	0	13	6	0	10	0	0	10	0	0	0	0	0	0	15	0	0	0	0	0	10	13	5	12	11	15	6	0	0	12	10	12	14	0	7	0	8	13	0	8	0	14	0	11	0	0	12	0	9	9	14	0	9	11	8	0	13	13	10	0	0	0	8	0	9	0	6	6	14	5	0	5	0	15	15	8	15
0	0	0	0	8	6	9	6	10	0	7	11	0	12	7	0	12	15	7	0	15	10	8	14	8	9	6	0	5	0	14	0	8	5	11	10	11	0	5	14	0	0	6	9	9	0	0	14	11	9	12	9	0	5	0	10	0	6	0	0	12	11	0	13	11	14	15	0	5	0	12	0	11	5	0	0	8	7	11	9	6	8	0	12	11	5	0	15	10	10	0	0	0	7	0	0	0	9	0	13	6	0	0	12	0	6	11	0	6	15	15	7	9	6	12	7	7	11	0	9
5	0	0	12	5	0	0	0	15	7	12	11	5	14	10	14	14	9	12	10	0	0	0	5	5	13	15	5	7	12	13	0	15	0	5	11	0	12	8	0	10	14	0	13	0	5	0	13	7	8	0	8	8	8	0	0	15	15	9	13	0	14	10	0	10	14	0	10	12	14	11	0	11	7	5	12	14	7	6	0	14	0	12	0	7	15	0	0	8	14	6	0	14	13	5	0	9	12	10	10	7	9	0	0	5	9	0	6	7	13	11	11	7	13	0	14	8	6	0	8
7	8	14	15	0	0	11	0	0	0	9	0	14	12	5	12	12	9	0	14	11	0	10	13	9	0	10	0	8	7	11	7	9	12	5	13	0	7	0	5	8	10	0	7	0	0	0	0	5	15	0	0	13	10	0	0	9	9	0	7	0	5	11	7	11	6	0	5	0	7	6	8	0	5	14	0	10	10	6	8	0	14	11	7	0	0	13	15	12	9	0	0	0	0	15	0	10	0	14	11	15	7	0	14	13	0	11	13	0	6	10	15	0	14	13	6	0	9	0	0
0	0	0	5	0	5	14	0	12	0	0	9	9	7	0	0	0	0	0	14	0	8	0	11	0	6	0	0	5	10	9	8	0	8	7	0	0	0	10	6	13	0	15	6	15	0	0	0	0	7	11	8	6	0	13	12	11	5	10	0	12	6	0	9	12	8	11	13	9	0	8	8	0	10	7	0	5	0	10	15	9	0	5	15	0	0	11	11	7	14	7	9	10	8	11	0	0	10	6	0	7	0	8	13	6	5	0	9	8	0	13	13	0	6	0	0	7	14	11	9
8	0	11	6	13	14	12	15	5	15	8	10	0	6	10	11	10	0	0	0	12	7	11	13	0	14	14	10	11	13	15	12	15	12	0	12	7	0	0	0	0	6	14	14	12	13	7	0	12	8	11	0	0	9	5	12	8	14	5	13	0	11	8	15	13	7	0	11	12	7	12	10	15	8	13	0	12	5	13	7	12	11	0	0	13	11	0	9	15	6	9	15	6	6	5	10	0	0	9	0	0	15	6	8	7	10	13	15	0	15	13	10	12	0	13	0	7	6	0	11
8	0	10	0	13	0	8	11	0	13	0	8	13	10	13	14	13	15	0	11	10	0	0	0	0	0	7	0	5	0	9	6	0	8	11	14	0	0	0	10	10	7	15	11	10	8	5	0	7	0	12	5	12	8	0	0	12	11	0	6	0	7	15	12	0	0	0	7	7	8	0	0	12	5	11	0	7	10	0	7	0	0	15	0	15	11	9	0	0	0	0	8	0	6	0	6	0	0	5	0	7	0	5	12	0	7	0	9	12	15	14	5	11	10	13	15	11	12	8	0
15	5	0	6	7	8	0	5	11	0	0	0	0	15	6	7	14	14	0	0	10	13	12	0	0	9	7	0	13	14	7	9	11	0	0	14	0	6	12	0	0	11	13	13	5	0	11	11	5	6	12	9	9	14	0	0	8	0	0	15	10	14	8	0	6	0	11	0	0	15	0	12	14	0	14	15	11	6	7	5	6	0	10	8	12	7	15	0	0	0	6	0	13	0	15	9	10	13	8	12	10	0	0	0	9	8	12	9	9	14	0	11	11	15	7	0	0	10	0	11
14	7	14	0	10	0	5	0	0	0	10	11	5	8	11	11	14	13	5	15	9	6	0	0	5	7	0	0	14	13	5	5	8	8	0	13	8	6	0	15	5	6	12	13	0	12	6	12	6	0	6	10	12	14	15	0	12	7	0	13	11	8	5	15	14	0	9	6	12	0	0	0	0	0	14	11	11	0	0	5	7	12	10	14	9	14	6	0	0	0	14	15	14	0	0	14	0	0	0	10	0	5	5	0	0	14	0	15	9	14	0	11	9	0	7	5	0	0	0	7
5	0	6	11	13	0	0	0	0	0	15	7	10	10	12	7	0	13	11	12	15	10	7	0	0	0	0	0	12	7	6	7	6	9	0	14	12	0	13	0	0	0	12	13	0	14	0	0	0	0	0	11	13	6	10	9	5	10	12	11	10	11	0	10	8	12	0	9	11	15	13	13	6	13	10	0	13	10	0	6	15	0	0	6	0	7	9	0	6	14	0	12	6	15	0	0	0	6	8	0	8	10	5	10	0	11	13	13	7	0	0	5	6	13	0	9	5	0	0	8
0	0	7	7	0	5	15	11	0	13	10	0	6	10	0	11	11	15	0	7	11	10	9	0	9	12	0	8	0	5	14	5	10	0	11	10	5	10	15	0	11	13	9	5	11	11	9	0	14	9	11	0	14	15	10	9	0	13	15	6	0	13	7	0	15	0	0	12	0	0	0	11	7	6	5	5	8	0	0	10	0	9	0	0	0	9	15	8	0	15	12	0	10	10	0	10	13	0	0	0	8	11	11	13	0	14	0	0	0	6	9	15	0	8	10	9	14	6	10	9
11	11	11	13	10	0	8	11	0	11	0	8	15	8	5	15	6	0	0	0	13	0	0	10	5	14	14	5	0	14	0	15	10	0	0	15	8	8	9	0	10	0	11	0	12	14	11	10	0	0	0	12	11	11	0	0	15	8	0	7	0	15	6	13	6	7	0	0	10	0	13	0	14	6	15	15	13	11	9	9	14	9	0	14	0	10	6	0	13	14	6	10	0	12	12	7	10	0	0	14	0	15	6	8	5	9	13	0	7	0	11	13	11	10	13	11	0	0	12	7
7	0	13	8	7	0	5	10	0	8	0	0	7	0	0	10	13	7	0	12	0	0	14	12	0	0	13	0	0	10	15	0	11	10	7	0	11	13	0	5	0	13	15	7	15	0	14	8	14	0	12	14	7	5	10	8	0	6	0	5	11	15	7	0	8	15	0	0	5	7	0	12	0	0	5	0	9	0	12	8	5	14	7	13	0	8	6	6	0	0	15	10	12	0	7	6	9	5	0	8	15	6	5	5	6	11	11	0	0	6	0	0	6	0	7	10	13	6	6	0
0	0	0	0	7	14	9	10	0	0	13	10	7	15	10	6	6	0	0	10	0	9	12	5	0	14	5	12	0	0	12	5	7	8	10	8	0	9	6	14	7	11	13	14	7	0	0	15	15	12	0	6	0	5	11	0	6	6	9	0	10	7	14	0	12	0	0	5	13	7	8	0	7	11	0	10	10	6	0	13	8	0	0	5	15	11	5	0	15	0	0	0	12	7	0	9	9	9	14	12	0	7	0	5	7	12	6	11	0	5	0	0	11	12	14	5	10	14	9	11
0	9	14	6	14	9	10	15	0	7	0	0	14	0	5	0	12	0	0	0	0	10	15	0	10	6	6	11	12	0	0	10	0	10	6	13	0	15	0	12	6	9	0	13	0	0	14	14	15	11	5	8	13	0	8	6	12	14	0	6	12	13	7	10	0	8	12	7	0	8	0	0	9	0	14	11	15	5	14	12	15	9	0	0	0	0	10	6	9	14	0	10	7	6	9	0	0	11	6	0	12	6	7	0	0	0	0	0	9	9	7	15	6	9	11	7	13	8	0	14
8	11	12	0	0	6	0	0	12	13	6	7	0	0	9	7	13	9	11	15	0	0	0	9	10	11	0	0	0	14	8	6	8	9	5	0	5	12	0	0	5	5	0	11	8	8	6	0	9	6	0	13	0	13	14	15	15	8	0	0	13	5	0	0	0	13	14	7	0	0	10	7	11	0	11	13	6	0	8	5	13	11	0	9	10	0	0	0	10	0	0	13	10	9	9	0	0	7	5	0	7	15	6	0	6	14	0	12	10	11	12	0	13	7	7	0	6	0	0	13
0	9	6	12	11	0	0	0	10	0	12	6	6	13	7	0	15	0	0	0	10	0	8	0	0	15	10	5	10	0	0	13	14	0	5	0	11	0	8	14	11	0	7	12	11	13	15	0	0	5	14	0	0	0	15	12	6	0	15	14	9	7	0	12	0	10	6	0	6	8	9	6	0	13	9	0	5	9	10	8	0	8	9	12	0	10	0	0	13	0	6	0	0	5	9	11	7	0	0	0	10	0	12	0	5	0	0	12	13	0	12	15	0	15	6	7	0	14	14	6
5	8	8	0	5	6	6	6	9	14	0	0	13	15	8	5	7	10	5	14	0	10	0	9	6	0	11	9	11	6	11	12	5	0	10	12	12	5	10	7	0	8	8	6	5	0	12	9	12	0	13	0	6	0	5	15	0	7	15	13	0	13	9	7	5	6	13	13	7	12	13	0	11	12	0	12	6	5	0	12	11	0	0	10	14	6	9	5	8	0	8	0	0	0	14	6	5	0	0	0	6	7	6	6	0	15	7	13	14	0	14	10	0	15	6	12	6	10	13	8
0	7	0	8	12	12	12	0	0	11	10	0	0	11	0	13	15	14	9	0	0	0	14	10	0	7	10	5	5	11	13	0	14	7	11	0	13	14	0	6	0	0	10	11	14	12	0	12	10	0	12	0	6	9	0	12	9	13	12	6	9	5	13	0	8	0	0	12	0	5	8	9	0	0	0	0	12	12	8	8	5	13	13	10	11	0	0	0	12	10	0	0	14	8	12	0	0	0	0	0	11	0	11	0	0	11	0	9	0	0	14	7	0	13	10	9	11	0	11	14
10	0	6	10	0	11	8	12	14	8	0	0	15	11	10	0	10	0	9	0	8	6	11	0	15	0	0	0	12	0	6	8	8	12	6	15	0	10	0	13	5	0	8	7	8	12	0	15	7	8	13	0	12	5	8	0	14	7	10	0	14	6	10	0	0	0	9	11	9	6	9	0	0	0	0	6	0	7	0	8	10	13	6	7	15	7	0	7	10	0	8	8	0	15	0	12	7	10	6	11	0	9	5	13	0	9	0	15	13	12	9	6	0	0	0	10	0	15	7	7
7	0	0	8	12	0	0	10	13	0	0	12	14	0	5	5	0	15	11	6	11	9	0	12	0	15	15	0	7	0	10	0	5	11	10	10	12	14	8	0	7	14	5	12	7	12	14	15	15	14	0	0	13	5	9	0	14	0	9	13	11	7	11	5	5	8	15	7	14	0	11	14	0	6	12	14	9	8	7	0	8	10	0	9	7	0	15	0	0	5	10	11	15	6	7	6	15	0	7	0	9	0	15	12	0	5	6	10	14	0	15	0	0	0	7	0	0	9	6	12
0	9	15	7	14	11	0	5	0	0	8	11	5	11	14	0	15	0	0	0	8	0	0	8	0	15	0	7	10	0	10	0	13	0	8	0	0	0	7	6	11	0	7	0	0	14	0	5	0	0	0	0	0	12	0	0	10	0	5	5	0	15	0	8	0	12	0	14	6	15	15	0	12	5	14	0	9	10	11	7	10	0	0	0	0	8	6	5	0	5	5	11	6	5	0	7	6	12	6	11	5	15	0	0	8	14	10	0	6	12	0	9	12	14	0	0	0	14	0	10
14	10	7	12	0	0	9	0	8	0	7	0	0	10	6	0	12	9	5	14	0	14	15	14	14	8	6	0	0	6	7	0	0	15	7	10	12	8	0	14	12	6	0	0	0	0	9	7	0	9	5	12	11	0	10	0	9	14	10	15	6	14	0	15	14	0	15	13	0	15	0	9	12	12	0	14	13	0	5	5	0	0	12	0	14	13	8	12	0	0	10	13	8	5	5	0	0	0	6	0	13	12	0	0	7	6	0	13	13	10	7	0	7	12	13	0	0	0	0	14
0	9	14	0	14	7	11	0	10	0	5	0	0	5	0	5	5	13	14	6	15	7	0	7	6	0	0	9	9	11	12	0	6	6	10	0	0	8	6	5	0	0	7	6	12	6	0	7	5	7	0	14	13	0	13	7	7	14	0	7	0	0	7	5	15	0	0	0	13	11	8	0	0	9	0	0	8	7	15	5	5	0	0	5	13	6	7	0	9	0	0	0	5	6	7	0	6	5	0	0	0	0	8	7	0	0	11	8	0	13	0	7	13	7	15	10	0	0	10	14
14	7	13	8	9	15	8	15	7	0	0	0	8	0	5	12	11	9	11	12	13	11	0	0	0	8	0	6	12	0	8	0	7	0	0	0	13	0	8	7	7	10	11	0	11	5	0	15	0	5	13	5	5	13	11	0	11	13	8	10	8	0	13	8	0	14	8	11	11	15	10	12	11	12	13	0	0	10	10	0	0	8	6	9	0	5	10	7	8	14	11	14	9	11	12	0	14	0	15	11	9	5	14	6	0	0	7	8	7	5	0	0	0	13	0	6	11	12	0	0
5	8	0	0	5	0	5	5	10	12	14	0	7	0	0	0	0	0	0	0	0	9	14	12	8	12	6	11	5	12	5	10	0	10	0	7	0	11	13	13	9	0	9	0	12	0	15	0	0	7	0	10	0	11	5	5	13	5	0	0	10	12	14	0	0	10	0	11	6	7	0	0	6	0	9	7	11	5	14	6	8	0	11	0	11	0	13	0	12	0	13	0	13	11	6	0	0	0	7	0	0	6	10	0	11	7	0	13	0	0	8	13	5	12	8	12	10	0	9	13
9	7	11	15	8	0	10	0	8	0	12	10	15	14	15	7	9	0	7	7	0	13	0	10	5	0	5	15	0	7	5	0	6	9	13	0	5	8	8	9	6	15	0	9	0	12	10	7	10	6	8	0	8	0	10	6	9	12	7	6	7	15	5	11	0	8	0	7	0	8	0	0	5	0	8	6	0	10	14	14	8	9	0	6	13	9	15	9	9	15	13	0	0	0	11	0	12	12	13	9	15	10	0	13	8	8	13	0	0	0	10	10	0	10	11	0	7	11	12	12
0	0	12	10	0	0	5	9	14	14	0	0	0	11	0	5	12	6	8	8	0	0	6	0	0	6	14	0	11	0	15	6	0	15	0	14	5	0	12	11	5	0	11	10	14	6	0	0	9	13	13	11	0	8	12	0	0	0	0	5	0	8	14	7	0	11	14	0	0	0	0	13	11	12	8	6	5	0	6	13	12	0	6	7	0	8	0	12	9	9	7	0	7	0	0	9	10	13	14	0	13	14	6	13	0	7	0	0	0	0	0	0	5	5	6	11	12	5	0	0
0	0	11	9	0	12	9	0	0	11	0	0	8	0	0	12	5	8	12	11	5	0	11	14	13	0	10	0	11	14	13	14	0	0	0	14	11	9	9	13	12	0	7	13	15	14	9	15	13	0	5	14	0	8	12	9	10	6	10	9	10	9	13	0	14	0	7	15	12	14	14	5	6	0	9	0	9	7	11	11	7	6	15	13	6	0	15	15	14	14	0	6	0	6	5	9	11	0	0	0	12	0	12	10	13	5	0	0	0	0	11	0	15	0	0	14	0	0	0	0
0	13	5	13	12	11	0	6	0	0	10	8	14	0	13	15	10	0	0	6	5	0	10	14	6	0	11	5	0	0	5	0	9	11	10	0	15	7	7	0	8	0	15	5	14	0	9	0	5	5	5	5	0	9	0	0	5	5	12	15	7	0	5	11	0	9	6	6	0	5	10	15	0	0	10	0	0	0	0	15	6	6	15	11	10	13	13	14	0	0	0	9	11	0	0	7	12	12	14	14	9	15	0	7	0	0	8	10	0	11	0	15	0	8	11	13	10	8	0	0
0	0	15	8	0	14	7	7	0	11	0	10	0	12	11	0	0	12	5	6	13	9	9	5	10	15	7	12	5	0	0	0	0	10	0	8	0	15	8	0	0	14	12	14	5	15	0	5	0	9	12	12	0	7	12	10	0	9	0	0	7	14	5	11	13	0	11	0	15	15	7	14	0	7	11	0	0	9	0	11	14	14	7	11	15	13	10	5	11	11	5	15	13	0	0	15	0	15	10	7	6	0	9	0	7	0	13	10	0	0	15	0	8	0	6	0	13	7	10	11
